Rank,Product Name,Price,Product URL,Image URL
1,2025년 새해 독서의 즐거움 철학 인문 소설 자기계발서등 500종 골라담기,"3,900",https://www.11st.co.kr/products/2430861331?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/2430861331/B.png?653000000
2,[제주농협] 귤로장생 레드향 4kg 로얄과(12-19입),"42,770",https://www.11st.co.kr/products/7899070864?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/0/7/0/8/6/4/Ocnwy/7899070864_193715690.jpg
3,[롯데리아] 토마토바질 2인팩,"11,500",https://www.11st.co.kr/products/7902391293?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/3/9/1/2/9/3/YKgSj/7902391293_193615474.jpg
4,[롯데리아] 토마토바질 1인 콤보,"8,500",https://www.11st.co.kr/products/7902390955?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/3/9/0/9/5/5/JiyuP/7902390955_193615546.jpg
5,"[혜택가 26,610원]완도 활 전복1kg 7-8미 특대전복 횟감용 구이용 살아서도착 + 세척솔","33,260",https://www.11st.co.kr/products/2043794369?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/7/9/4/3/6/9/MNJHU/2043794369_193715099.jpg
6,[더주] 결대로 찢어먹는 한마리 맥반석 오징어 100g,"5,860",https://www.11st.co.kr/products/2752222703?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/2/2/2/7/0/3/SoqqA/2752222703_193691830.jpg
7,"[농할가 11,990원] 깨비농원 제주 한라봉,천혜향,레드향 2kg / 2개구매시 4.5kg 발송","14,980",https://www.11st.co.kr/products/4073203691?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/pd/v2/2/0/3/6/9/1/tqdIQ/4073203691_B.png
8,"[혜택가 27,910원] 남해안 활 돌문어 2kg 1~4미 자연산 빙장포장","40,990",https://www.11st.co.kr/products/7832106462?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/1/0/6/4/6/2/rMpGp/7832106462_193748544.jpg
9,"온더바디 풋샴푸 마루는 강쥐 선물세트(385ml 2개 + 풋미스트 그린티향 100ml), 1개","11,900",https://www.11st.co.kr/products/7896968770?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/7896968770/B.jpg?46000000
10,[1플1] 한닢쿡 동전육수 40알 160g 진한/시원/홍게 3종 가루형스틱 선택,"7,920",https://www.11st.co.kr/products/6141935218?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/9/3/5/2/1/8/EmJQf/6141935218_193693822.jpg
11,[품질보장] 호정가 찹쌀약과세트 1KG / 달콤한 전통과자세트,"8,900",https://www.11st.co.kr/products/3152710531?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/3152710531/B.jpg?97000000
12,스파클 생수 2L 30병,"13,050",https://www.11st.co.kr/products/2619185825?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/1/8/5/8/2/5/hTmVa/2619185825_193596930.jpg
13,"동원참치 O-15호 선물세트, 쇼핑백 증정, 1개","26,900",https://www.11st.co.kr/products/6201410887?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/6201410887/B.jpg?52000000
14,모바일 금액권 (이마트) 5만원권/이마트/트레이더스/노브랜드,"49,000",https://www.11st.co.kr/products/7087419542?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/7087419542/B.jpg?723000000
15,[롯데리아] 발사믹바질 1인콤보,"8,500",https://www.11st.co.kr/products/7902390780?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/3/9/0/7/8/0/jQrlG/7902390780_193615550.jpg
16,New 맘스넛 하루견과 실속100봉 견과류선물세트 x 2박스 LX50봉 (품격선물세트) 당일제,"21,340",https://www.11st.co.kr/products/2427212690?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/2427212690/B.png?84000000
17,"CJ 스팸 선물세트 11호, 쇼핑백 포함, 1개","33,500",https://www.11st.co.kr/products/4052110031?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/4052110031/B.jpg?687000000
18,[농할20%] 깨비농원 새콤달콤 조생감귤 2.5kg 4.5kg,"13,710",https://www.11st.co.kr/products/2190613796?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/2190613796/B.jpg?656000000
19,[20+20과] 상주곶감 건시 반건시 대봉 선물세트+실속형,"24,880",https://www.11st.co.kr/products/633974886?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/9/7/4/8/8/6/Efnmd/633974886_193300238.jpg
20,"삼다수 무/유라벨 랜덤, 2L, 12개","11,660",https://www.11st.co.kr/products/5925154481?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/5925154481/B.jpg?876000000
21,[내일도착] 올바르고반듯한 크런치핫도그 75g x 20봉,"16,970",https://www.11st.co.kr/products/7923779133?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/pd/v2/7/7/9/1/3/3/ClozU/7923779133_B.png
22,[10만원권] 신세계백화점 상품권 카드결제가능,"99,500",https://www.11st.co.kr/products/2325551652?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/2325551652/B.jpg?225000000
23,[3M내츄럴 옥수수 그물망사 수세미 3입 5개(총15입),"24,500",https://www.11st.co.kr/products/1927032994?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/pd/v2/0/3/2/9/9/4/iGEIX/1927032994_B.jpg
24,"[내일도착]24년산 전라북도쌀 20kg(혼합, 상등급)","46,900",https://www.11st.co.kr/products/7017976774?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/7017976774/B.jpg?939000000
25,한성 크래미H x 10개,"8,800",https://www.11st.co.kr/products/7401960724?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/dl/v2/9/6/0/7/2/4/BUDvC/7401960724_193854228.jpg
26,[품질보장] 과일꾼 배 사과 만감류 샤인 혼합과일 선물세트 설 명절 선물세트 발송일지,"10,970",https://www.11st.co.kr/products/4912401895?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/pd/v2/4/0/1/8/9/5/kkXwA/4912401895_B.jpg
27,"펩시콜라 제로슈거 라임향 제로카페인, 355ml, 24개","15,700",https://www.11st.co.kr/products/6891067132?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/6891067132/B.jpg?725000000
28,"[최종 12,980]연세우유 저지방멸균우유 190mlx24","17,300",https://www.11st.co.kr/products/7875285683?inpu=&trTypeCd=22&trCtgrNo=895019,https://cdn.011st.com/11dims/resize/300/11src/product/7875285683/B.jpg?389000000
